Reviews,Rating,Sentiment
"Well I am writing this review after 6 months of daily usage. If you are looking for a headphone in mid range budget with awesome sound quality with a perfect bass then go for this.After my 6 months usage, I am totally satisfied with this product. The battery backup wonders me. After a full charge, if you use it 5-6 hours per day then it will last for about 4-5 days.The sound quality is also of high definition. Bass is also wonderful. Connectivity range is also good not very good. Just one thing with what I would like to say it Ok is its microphone . Microphone works well in noise cancelling but range of mic is some less.Overall you can purchase this product without any worries. I hope that you also will like it.I am regretting one thing also that is I had ordered black colour which I am not liking much as compared to other two colours",5,1
Boat Rockers 310 is perhaps the best sounding product below Rs 1200. It's treble bass and volume up down functions are very good. The curved bar is soft and padded covered by leather. Once charged it can be used for 5 to 6 hours in Bluetooth connectivity mode. Aux cable and micro usb cable is provided as asseccory in packing box. A good choice to buy.,5,1
" So , the most important thing that attracts me buy these headphones is their DESIGNS that's was too much mind-blowing that no headphone have in this price range , I get these Rockerz at 1000 in the sale ... Let's talk about some imp. Points that we all wanna know ..Pros:-1.BASS ( 5/5 )2.Tereble ( 5/5 )3.Build Quality ( 4/5 )Note :- It's all depend on how u r using your product whether roughly or nicely.. if u use them wisely then there's no issue with build quality.4. Looks ( 5/5 ) BLACK & GOLDEN fits better for this one.5.MIC ( 4/5)Note:- There's some NOISE CANCELLATION I thought so , it's bit Lower for others to hear while call but that also manage-able Not a HUGE issue6.Bluetooth Range ( 5/5 )No problem 👍 the range is good compared to the others ..CONS :-1.AUX CABLE ( 2/5 )Note :- It's too thin u have to purchase new one from aftermarket hardly it will cost u around 30 or 40 IF U PURCHASE A GOOD ONE .2.USB cable ( 2/5 )Note :- Same issue like with the AUX one , it's also too thin , but it's OK we all can adjust in this price range .... Also I mentioned my own clicked photos there so u can check and assure youself ...I bought them for my online classes and for listening some songs daily basis 😎Most of the YOUTUBE channel says ""the bass is not upto the mark "" but I think u should try once by your own and really u will have no issue with it , Both of your 👂(ears) start  vibrating with the bass.. that feels awesome.. According to my perspective I will give  ( 4.5/5 )Go for this amazing ROCKERZ 370.. if u think that this REVIEW helps u to gain a perfect knowledge about these HEADPHONES then plzz like it.",5,1
"Poor Basic Headphones. Highly Overpriced. Sound is normal, no special bass or noise cancellation. Build and look very cheap and basic. Buttons not strudy. Unnecessarily Big. Does not look durable. Initial reaction - Very Bad. Amazon do not return Electronics if unsatisifed, only option to replace. No use as did not like the product itself.",1,0
"Product broke after 3 months of usage.not happy.i have claimed for a return and am waiting for a response from boat team.though when I called the customer service and said that the issue with my complaint is that one of the bands is broken,they said they cannot help me as it is physical damage.guys I did not have a problem with the audio but it did break very soon.i don’t think I am going to get a return on this product so I suggest you to go for a different product",1,0
"No Voice cancellation in this product, for this cost, this is not worth product, Boat company is good in headset, but manufacturing such products will loose its brand image in the market",1,0
My ears and head stared paining. It's uncomfortable and the bass is also not good. The sound also bursts.,1,0
I would like to start with pro sound is good and battery life also goodNow the con's you can't use it on summer because it will heat up you're ear and you can't use it for long time because it will hurt ear overall I can say it's a good product but I can't use it on summer it's hurting my ear,4,1
"After reading these reviews where some people really didn't like it and where some people loved it, I got really skeptical. I probably was about to cancel my order. But I got it anyways and It's so good. It fits my ears perfectly, it doesn't pain even after hours of usage. The sound is more than loud enough with enough bass and also has this really good theater effect. Kinda makes me look like a gamer girl not gonna lie lmao. But, anyways. So far my experience has been good. And yes it might be a little delicate but which headphones are not??? Just buy it guys don't fall for the bad reviews this headset is beautiful!!!",5,1
Super mind blowing,5,1
"This product has poor built quality there is no voice cancellation at first when I ordered it it was pretty well but it started giving me problems after few weeks it had problem in connectiveti with Bluetooth and in some calls it would automatically ends the call . It not at all good for gameing . It has a very poor noise cancellation fataliti . After few weeks it just broke by stretching when I was wereing it for use poor quality if you are buying it is only good for less use or it will start creating problem it has an average sound quality.it is not good for meeting ,classes, gameing  very bad quality recommended not to buy this product is very bad no noise cancellation facility very bad build quality so you should not buy this product .very bad product this by stretching it breaks so build quality is very bad it does not  has an noise cancellation facility and this auxillary works not very well so I recommend not to buy this product",2,0
The headphones are kinda good in terms of the audio quality and battery backup.......but the build and the quality of the headphones is not that great as the ones which I ordered broke like shown in the photo and this happened very close to the time I actually ordered it and started using it........I used the headphones as I would have used any other headphones but the headphones just came apart🤷🏽‍♂️,2,0
"Sound is all good and good hearing over bluetooth too, when connected to mobile / laptop. But 2 major issues I experienced:1. Cannot use bluetooth for making calls, attending meeting where I need to speak. The receiver is not able to hear my voice even though I kept the volume to maximum. So I am forced to use a wired connection for the mic to pickup my voice and make it audible to the other side.2. The build quality - Bought this in April 2021. The headset broke 10 days back, making it unusable. This is the first time a product like headset is broke [see photo] within 6 months of usage. I could have used it for not more than 200 hours at the maximum. Don't know if this is covered in the 1 year warranty that Boat has promised. Now I bought another headset of another brand. Actually disappointed with Boat over these issues.",3,0
Bought it almost 4 months ago.Works fine while using it with the aux cable. But while in bt mode the music kinda fluctuates in low volumes.( Either left or right cut off or both of them cut offs)Had it increase volume so that the music starts Playing again.Not so happy with how it sits on my head.Might look good but ergonomics are poor.The build is alos not that satisfying.Already had many hairline cracks.,2,0
Sound quality is no doubt a good point becoz of Boats company but i feel its Bluetooth connectivity is little bit pathetic sometimes it does connect with anybody else's phone and just make sure tht u have Ur phone very near 2 u otherwise there's a glitch which I heard from Google is dangerous due to the rays and I'll recommend u too charge even at 90 % battery becoz glitch starts to occur otherwise and yess it doesn't fall while exercising so that's a good point 2 me. Overall since 2 months usage it's been good and I keep it in its box only after usage and I got at a reasonable price so it's grrt fr me !,4,1
"Don’t purchase any boat headphone from Amazon, that was duplicate product,there is number started with R printed on head band ,not present in this product..Side determination as L/R not mentioned over metallic bar over head band,no boat logo printed over apex of head band,lastly poor quality sound and bass,quality of cushion over ear cups was of cheap material.After returning that I purchased same model from Myntra,where all points I mentioned satisfied me…DONT PURCHASE ANY BOAT PRODUCT FROM AMAZON",1,0
"I bought this to attend online classes of my college the battery life is very awesome i charge it once for 4-5 hours and it keeps working for more than a week, the quality of sound is nice but long hours of listening causes pain in ears which almost every headphones do,other than that best headphones, i purchased these at 999 in Amazon sale so at a big profit. Thanks for reading.",5,1
This product is just okay and not so great.I would have rated 3.5-4 star but below are the reason why I rated less.Reduced 1.5-2 start because of product quality. Build quality of head phone is just-just average ar somewhat between below average to average. The charging cable & jack cable are of very bad-cheap quality.Also reduced 1 star because it is not compatible with many devices for e.g. my use-case was to use it with my MacBook but it is not working with it. I is just working with Windows laptop / Android phone but I most use head phone with my MacBook for meetings.Hence 1 star.Thanks,1,0
"I have been using this earphone for 4 months now, i was not sure about it first but now I am fairly satisfied . Here are some honest  pros and cons of this earphone.PROS:1. Battery: I can't express how much I am satisfied with it, The packaging says 12 hrs runtime ,but it clearly gives me over 20 hrs. I usually have to charge it 2-3 timesa month. Believe me it sounds unbelievable but it is true.2. Sound quality : sound quality is fairly clear and bass is also very good, at this price  it is as expected.3. Comfortable: I was not sure about comfort first as my ears were was hurting too much, BUT after 2-3 DAYS IT BEACAME TOTALLY COMFORTABLE. Now if I wear it for whole day long, my ears don't even feel itCONS:1. light and generic build quality, it's very light and generic, doesn't give a premium feel ,and always I have to use it cautiously because i feel it would break2. Mike is very very  bad, no one can hear my voice through mike3. If you stand near wi fi router, it may cause interference in sound.",5,1
"For the price of 1100 with bluetooth 5, its a 4 star product. Some flaws are there too. Made of plastic, so will easily degrade/break. The funtion keys only work on bluetooth mode not with AUX cable. Ear cushion not too great, after long hours it may cause pain in ears.",4,1
"I am using this headphone from last 2 days, here's my experience -1. I got this one for 13992. Battery capacity is really good, 10+ hrs3. Sound quality is good4. Bluetooth connectivity is good5. The biggest problem is its ear cushions, they're really tight , you can't wear it continuously even for an hour",3,0
"• Good sound quality, vocals are crystal clear. Nice to see AUX cable bundled in the box itself.• You can get rich bass in Bluetooth and above average bass using the wired connection.• The ear cups are padded with good quality foam and faux leather, no pain on continuous use (Used it for 2-2.5 hours and was still very comfortable).• Not Bass heavy but you can tweak settings to get good bass.• Good fit and design.• Good Battery backup, got 7 hrs+ on single charge. Full charge takes about 2-3 hours, the orange LED goes off when fully charged.• Build quality is good considering the price of the product.• Call quality is average (the speaker is not so loud). The headphone also tells the Caller’s Number during an incoming call.• The Latency is also acceptable at this price point.CONS:• On Bluetooth, when the volume is kept very low and the music has a very low pitch, sometimes the left-right speakers turn ON and OFF automatically. (It can be eliminated by keeping volume bar at about 50%, also no problem when connected using Aux cable). I saw this problem in boAt Rockerz 450 as well.• When kept at 100% volume the sound tends to get distorted. (Its THD-Total Harmonic Distortion is ≤5%, whereas most good headphones have it at ≤1%)• The aux cable seems to be too thin so be careful while handling it.• The earcups are not sweat resistant so take care of it.",5,1
"I can't believe the experience I've had with these headphones, when they arrived, I was unable to activate the warranty for it even after following all the steps mentioned in the package. Just after 20 days one side stopped working but it would suddenly start and stop working from time to time. I tried calling a service station but no one would pick up and provide me with any assistance, after a month and a half, one side has completely stopped working and now these headphones are just a waste, I wrote them a mail as well to help me with this issue and got no response. Don't buy this product it's not durable at all and has basically no after-sales support.",1,0
"My son says the sound is AWESOME (all-caps = excitement level!), and he's 14 years old so that's a HUGE compliment for this amazing product. As for noise cancellation, he doesn't even hear me when I'm right next to him and speaking directly to him - that's how good it is!The build quality is excellent and it lasts for quite a bit longer than the stated time for a single charge. He uses it almost constantly and I haven't seen him charging it more than a couple of times a week.I think this is a very attractive price point because this kind of sound is usually only available on premium brands like JBL and Bose. I also bought some earpods from boAt and I'm pretty happy with that as well. Looks like the brand is very dedicated to providing the best user experience possible at an affordable price.",5,1
"Was working fine for the 1st week. Started to hear a crackling disturbance all the time, in around 2 weeks after buying it. Sadly, the return window had been closed by then. Now stuck with this useless e-waste. Fitting is very tight and uncomfortable. Of all the Bluetooth headsets I have used, this is the most uncomfortable and pathetic product. Go for something else even if they give it for free. As long as it was working fine, sound quality was good with proper noise cancelation.",1,0
"It's been 2 months since I'm using this product..my review is absolutely genuine as i'm facing some issues regarding this product. At the first 2 weeks the cushion (on the ear) of the headphone got removed somehow it could be poor built quality . Then after some time the sound from from left side of the headphone was also not coming. Initially, I though that there could be some issues from my mobile so I restarted the phone but it didn't work out. Then I connected the headphone via bluetooth to the other mobile but it didn't worked as well.. I suppose the headphone itself have an issue.. It might be hardware problem.. REALLY DISAPPOINTED!!",1,0
"Hey there i purchased this headphones mostly for microphone and online classes. As microphone was my top priority I tested microphone quite a lot with bot pc and phone with some music during late night studies :)Pros----very nice microphone , the other person was able to hear me properly even if i was far from Device. One thing to note is when on pc you have to use AG handsfree calling mode not stereo else you won't be able to listen anything what other ppl is saying. Also ag is mono channel so it degrades sound quality which u get from headphones.But this isn't this headphones issue its just bluetooth mess which no one bothers to fix.----battery lifeBattery life is quite good tbh will easily last 3 4 days if u do mostly online classes and little music listening at night :)----connectivityConnectivity is pretty solid between the walls yeah bit struggles but considering how congested my airspace is with radiowaves blasting here and there connection was pretty solid.Cons:-----buildBuild is cheap and hollow , i expect cheap but it feels like toy and not at all sturdy , so handle with care-----sound qualitySound quality is below average tbh , on 50% volume its good , but when u go around 20% 25% then the headphones starts to skip few beats which are of lower amplitude , i dont know if its my unit of what but it does this every time. And wonder why i listen at 20% coz at night 20% feels like 60% of day coz we perceive volume relative to other volumes/loudness.-----comfortWell i am bit comfy person soo this for me is not much comfortable , i mean 1hr and its done i have to take break of 5 min or so , it's a good thing if u think about your ears but still😅",4,1
"First of all, hats off to boat. They are improving their product range in every way they can. I saw some reviews in which people moaning about no noise cancelation, poor bass poor quality etc.. please don't bullshit. This is a good product. Look the price! It is very apt product during exercises like heavy lifting. If you want best bass, go for boss. If you want best anc, go for senheisser. This is an economical product. Boat will introduce their flagship anc headset soon and I'm waiting for it. Kudos for boat team.",5,1
The product comes with good package details. But the features are very hard to use. like pressing the button to start or cancel a call is very tough.Sound quality is poor. And its not comfortable to the ears. Its like something heavy is sitting on your ears.Bluetooth auto pairing failed when u receive an incoming call.you really have to struggle to connect.I tried both with my Iphone and Redme device.Don't waste your money on this. Not worth of 999 INR,2,0
Suggestions-  1.  I got it on 2021 during great Indian festival for 899 don't buy it if its at 1.2k or more than that it ain't worth it.  2. Try out the boat rockerz 450 on sale it was priced the same at 899 normally it is around 1.5k  3. Don't spend more than 1k on headphones if you don't have that much budget or you're a student  4. After buying these products goto the company's official website & register the purchase invoice for warranty claim.Like-  1. Good sound quality & sound balance not high base or high pitch balanced in all these  2. Noise cancellation good  3. Bluetooth connectivity good (v 5.0)  4. Comes with aux cable in the box  5. Battery backup is good too(1-2 day 100%-30% in normal usage)Dislike-  1. Cufs are kinda hard type though they contribute in good noise cancellation but ears ache too 😐 thumbs down for very long time usage; Solution- make a habit of it😂  2. Right ear cuff comes loose unattached. It's not like its broken or something but it comes in the box like that,3,0
 First of all sound quality is very comfortable in this price range i really enjoy the music. Its not premium quality sound but good.2. Connects easily when i turn it on.3. After use of one half an hour its becomes very uncomfortable. My ears starts paining.4. After using it for week its still have amazing battery i charged it once only .,3,0
"This product was had manufacturing defect inside the plastic band material,from which it is now broken out, that could not be visible during product receiving time period. Please do something for this automatic damaging, I wanted number of time to connect with customer care service but no any my call receiving by customer service. Please do the satisfactory advice to repair or exchange purpose because this product is under guarantee period. I was received this order on 27 Sept 2021Didn't last for a month... It just broke .. as you can see. As one moth is over Amazon won't take it back. Whome to blame here Amazon or boat company!!If you still want to purchase..... Then go for jbl and sony products. Atleast they'll last much longer than than this pathetic product. You may spend 500-1000 extra money, but it worth it.Plz don't buy this product.. after using half an hour your ears will start paining. Instead on ads they should work on quality of products.it broke after usage of one month.totally wastage of money.",1,0
BOUGHT ON 29 MAY 2020. RECEIVED FROM AMAZON ON 1 JUNE 2020. MIC STOPPED WORKING ON 15 JUNE 2020.CUSTOMER CARE NUMBER ARE NOT WORKING. DO NOT BUY THIS PRODUCT. CALL ME FOR A FEEDBACK SUMEET 98101-98127,1,0
Bass n sound quality is good. But while making calls other end can't hear me properly. Another issue is that ear start to pain after some time. Also built quality n material quality is very low don't look like a big brand product in real. Low quality plastic.,3,0
"This headphone is good for non-bass lovers. Like, if you don't listen to deep bass music, this headphone is good. Infact great..Rate:-Sound quality- 9.5/10Bass- 7.5/10Build quality:- 8/10Sound clearity:- 9/10Mic:- 4/10Total:- 38/50If you're buying for studies like me, then it is good option......",4,1
"This product has a super good sound quality, it has dual mode and the size of the headphones can also be increased. If you are a student it's best for doing online classes, listning music🎵, making calls and ofcourse gaming. You can spend hours while wearing it!! So just tag along and the product is real. It also comes with the aux wire to use it in a normal wire. Wear it and just rock!!",5,1
"Amazon has done amazing in getting the product early delivered, even on this period of COVID-19 Lockdown 4.0. Really Appriciable. 👏Boat is reputed brand and have a fabulious sound. Rockerz 370 (Green) looks attractive and have a very good sound with great quality. Go for it if you have a tight budget. 🎧",5,1
This is a brilliant product but the fiting is a little uncomfortable on large or average size ears. But if you find a perfect place to waer it on ears it is a good chice. The bass is sooooo good and the volume is so high. The bluetooth connectivity is a lot quick than anyother product. Overall quality of the product is a lot higher than any other product,5,1
"This particular ser was not my first choice even though I wanted a set from Boat. But I settled for this when the other set was not available. Having done so however, don't have any regrets. This has great design, great ergonomics and most of all, absolutely rich and distortion free sound. Very happy with this and would happily recxomend it for everyday use!",5,1
Pros-Sound quality felt actually good for the price.Battery life was absolutely great.Look really greatCons-Low quality cheap filmsy plastic that easily broke off within the first three months.Felt a bit short for my head and caused pain around the ear after wearing for too longI would highly advise against buying this one,2,0
"Its very cool, stylish, and high quality hd bass...just superb",5,1
Its very fragile.. Wire comes out when you try to extend the headphones. Bass is not upto the mark.. Its either too much or very less.. The ear cups dont fit your ear properly.. Its should have been designed in such a way that it fits every ear.. Coushion of ear cups are a bit hard.. Volume is very good..connectivity is also good.. But for such less money its fits in perfectly.. You cant expect more .. All in all its value for money per the price.,4,1
It seems to have problem with bluetooth connection while playing audio. Sometimes I can only hear in one side and my other ear is silent. The problem often remains for a few seconds only which is good . Microphone has some problems while I'm using apps like Google Meet or Zoom. People on the other side has trouble hearing me speak. Sound is okay. Not too loud which I like. I tweaked the equaliser of my Spotify and the bass is good. Overall it's okay for now. Let's see what happens in the long run.,3,0
The quality is good. But I was very dissatisfied with the mic. You can't take a regular call in peace as the person on the other side is unable to listen to you properly.  So there's no other way than disconnecting it and switching to the earpiece.Also after using it for an hour continuosly your ears get kind of sore.But overall it's a good product if you ignore the mic.,3,0
"Sound quality is good but if the product is not comfortable then it is not useful for user. When I try to return it is non returnable. So, it becomes a useless product for me. So, I don't recommend anyone to buy this product from Amazon. Better to go near by shop and purchase a comfortable headset which you use atleast an hour without putting stress on ear. Our hearing power is one of the greatest gift by God use headphones judiciously.",1,0
I bought this a week ago.1st things is we cannot use it for more than 1 hour as this cause ear pain. And also sound quality is good only for music and videos. this headphones doesn't work for calls. Totally useless for calls. I was given replacement option only. I'm really not happy with replacement as I don't want this product. My main purpose for ordering this was for calls and meetings only so I'm totally disappointed.,1,0
"Listening Music during walking is trouble, sound breaks. Mic needs to be closer to mouth while speaking on call otherwise person on the other end complains of voice breaking.You are sitting and headphones are connected to phone/pc ( stationary), then it gives flawless performance.Not for long use, as ears get heated, irritable, sweaty.",4,1
"Decent product1. Build quality - not so nice feels very cheap and sometimes I just thought I broke it...Cushion are very poor in quality,2. Comfort - not so comfortable,Feels like someone press your head so tightly.3. Music quality - high and mids are descent but base should be more soft.Overall it's sounds good.After 4 days of use left driver were gone. So I've returned this product so buy it at your own risk!!!",3,0
"First things first. While opening the pack itself earcup of one side was not in its position. .i.e it was seperated from the headphone ( please refer to image). I was really sad, as I bought this for diwali. I am using boat gadgets from past 2 years, never experienced such things. However, somehow managed to attach those earcup to the headphone. Apart from that, headphone is good. Felt ear pain after using for half an hour, I hope I will get used to it. Sound quality is good, built quality is ok for this price(₹ 899).Update: built quality is not at all good. I think spending little more money and buying some other brand or other model in this same brand is better option.",2,0
"This headphone is the best one out there in this price range. After searching alot for wireless headphones, I finally came up to this and I'm not disappointed. The bass is fantastic and the sound quality is good. But the sound on full volume isn't too loud. So if u have a habit of listening music on very loud volumes, then this is not for u. It's not like the sound is too low, it's just not that loud compared to other headphones but I still enjoy listening music in it. The design is very attractive and the red colour looks beautiful. It's comfortable but u may need to remove it for a few seconds and adjust it again cuz the ears start hurting after using it for like 1-1.5 hours. And most importantly, it has a 1 year warranty. But there's only one thing which I hated about this is that the usb cable provided doesn't even fit in it. Didn't they test it before putting it in? I had to use my phone cable to charge it. Other than that, it's goodMy final verdict- 9/10",4,1
Hi I am going to give clear review about this headset.First of all sound quality is very supper.Bass is also good it comes according to song requirment.Noice cancellation is ok.Battery backup is very powerful.It's sound processing is awesome.I had noticed sound from left speaker comes loud and basse and whereas right has more of vocal therefore sound generated feels like surrounding sound.But it's irritating something but due to this effect sound comes properly.But biggest backpoint is confort you can't were it continues for 1 hrs After some time ears start paining.Overall is perfect product and value for money. Please tell that sound in left speaker is more that right speaker or its my headphones problem.,4,1
the sound quality is great the bass is okay but i do not suggest you to buy this if you are a gamer or use the headphones all day long-the headphone's cushion is not that soft so using it for more than 1 hour can irritate youi dont know if this is a me thing but i get headaches when i wear these.. if you see any other reviews complaining about headaches then dont buy it..,4,1
Writing the review after using 1 week*The ratings I am giving are according to my preference and keep in mind the price also.Sound quality- 3.5/5 - The sound could have been more bright and the bass was good. Vocal separation was okayish.Comfort- 3/5- The earcups are not that soft and start to hurt in long use.Build- 3.5/5 - The build is all plastic with matte finish. Its not that fragile to break easily unless you really try.Battery-4.5/5- The battery life was quite impressive. My daily use is about 5-6 hours and it easily lasted me around 6-7 days on single charge and you also get aux cable if you run out of battery.I also have boat rockerz 450 and the sound quality in that is just slightly better but it is way more comfortable than this so if you have to wear headphones for very long time continuously you can go for it but it also costs more and the build quality on that in quite good too.,4,1
"Bought this for 999/-Its only good thing is battery life. Charging time around 1 hour and gives 3 days of battery life.Bass is fine, you have to tweak the settings in equalizer from phone apps but other than that its fine. ( rockerz 400 had way more bass but very less battery life 8hrs)Sound quality is good for its price, cant complain.the teal blue colour is my fav, it just looks very attractive and also fits well. ( you will get slight discomfort and pain after long usage for around 4 hrs and more, but in time you'll get used to it.)so yes I only love it for the looks and battery life :)Edit: the plastic broke and my headphone is in 2 parts so it's useless after 3 months",2,0
" Pros (advantages)*Sound quality is better than boat rockerz 450*Crystal clear sound*80% charged when arrived* No latency*Bluthoot 5*Heaven like sound quality*upto 10m range*Battery backup 12 hours of continuous use*Comfortable and soft cushions*Connect easily to any devices* Aux cable and USB cable inside box* Free sticker of boat*packaging was soo good*1 year warranty with waranty cardCons:*Built quality is plastic made so we have to use it carefully it may break*in aux cable the sound quality is little bit low but in bluthoot the sound quality is like a heaven*It doesn't has noise cancellation featureOverall id you have a budget under 1000Then definitely definitely definitely you should buy this , this also wireless and sounds sooo good crystal clear, high definition , sounds like heaven so I very very recommended you all to buy this product",5,1
"Product build quality is too bad.In just 2 months I have seen cracks on products .which lead to break downThis product was had manufacturing defect inside the plastic band material,from which it is now broken out, that could not be visible during product receiving time period. Please do something for this automatic damaging, I wanted number of time to connect with customer care service but no any my call receiving by customer service. Please do the satisfactory advice to repair or exchange purpose because this product is under guarantee period. I was received this order on 27 October 2020",1,0
"Earcups/cushion quality very bad. After using 10-15 min starting burning ear. I replaced once after recieving second one still problem is same. Nothing changed after replacement. I am telling you don't buy this product, it is very harmful for ears, and also it startes paining on ears and nearby ears area. Overall it is worst product. Very clear, it makes unwanted pain just after 10-15 minutes of using. If we don't use for 10-15 minutes then we must not buy such kind of product in my point of view....",2,0
"Detective piece received.Looking at the reviews and price tag I ordered one for my kid. The item was received on time as communicated with proper packing.However, The device seems to be unusable. None of our phone (iphone12, OnePlus 8T, MacBook) are able to search the device under Bluetooth connectivity. However when connected with 3.5mm jack it sounded good.Have filed for the replacement and hoping the replacement to work fine.",2,0
"Audio quality is great, music, bass treble everything is good. Could be a little painful for your ears if you're planning to listen music for a continuous period of 2hrs & more and you haven't adjust the headphone according to your head size. Music wise it's great in both bluetooth as well as aux mode, Mic is decent, battery backup is also fine. Overall it's a rocker!",5,1
"The Boat Rockerz 370 is a fantastic headset and a one I would definitely recommend to spend your money on. Has HD sound quality and immersive audio which is recommended if you’re a gamer. Simple, slick design as well, lightweight, and many more. I bought it in the ‘Raging Red’ colour scheme which is a combination of red and black which I love. Overall, this pair of headphones is definitely worth it!",5,1
Amazing product !! Specially build quality... Design & controls as well ! Some special areas to be mentioned.. i.e. bass is good so with that vocals are very clear... Bluetooth connectivity also very strong !! Noise cancellation not upto mark but ok & aux cable quality is weak so i think new aux cable need to purchase for those who need dual connectivity otherwise bluetooth are stong to work! One thing specially mention about bass quality that some romours about it that bass eliminated ! But it's totally wrong bass is exist but not so strong so it can help in to hear vocals clearly also ears not damaged with that ! One last earcups are so comfy & also headphone adjust very well with that with head... Overall weight is also good !With low or medium budget it valuable product !!,4,1
Very difficult switches to put the headphones off. Its ok to get connected to your mobile device with this headphone but bey difficult to switch off the headphone without first switching off the mobile device. Its a nightmare experience to use it only because of this reason.......,2,0
"Specially if you are not playing songs on your device and the headphone is connected via bt, it keeps connecting and disconnecting every 5 min, while playing an audio msg ""you have now been disconnected "" and "" you are now connected to rockers 350"". It's very annoying and also makes my Samsung m31 lag",3,0
It is made of low quality plastic which broke within two months of delivery.Worst product not worth for buying. Sound quality is very bad and there is no noise cancellation and bluetooth connection often fail and sometimes it didn't help me for handsfree calling.,1,0
"First of all it's the best thing you can have under 1k . First of all the sound is good , there is minor distortion at full volume but normal person will regret it , although no one will use at full volume . The bass is awesome , vocals are clear and there is some noice cancellation at upper volume . I have issue that the earcups are soft but not for long term use bcoz headphone apply pressure and cups also not manage it . You cannot use for long-term use . The build is plastic and the extenders are also plastic but not that weak that they cannot handle pressure ,  if you do that with patiently . Although a good buy if you want it !!!!",5,1
I used this head the audio quality is fine but mike quality is not good. When I attend a zoom or team meeting then others complaints for voice quality however the internet connection is very good.  I am not totally satisfied with this product. We can not return this item.,2,0
It’s the best pick for headphones Perfect for an adult to listen to music or watch movies and perfect for a child for his/her online classes. Very happy with the product. It nullifies outside noise n fits on my ear well. The best feature is it’s adjustable head band which fits perfectly well on my head n  on my child’s head too…,5,1
